lat,lng,mag
-95.658116,29.786646,1
-95.658116,29.786646,1
-95.658116,29.786646,1
-95.658116,29.786646,1
-95.658116,29.786646,1
-95.658116,29.786646,1
-95.658116,29.786646,1
-95.65623,29.729993,1
-95.655585,29.784456,1
-95.655585,29.784456,1
-95.655362,29.785417,1
-95.654288,29.73199,1
-95.654129,29.728998,1
-95.653655,29.732625,1
-95.653412,29.785422,1
-95.653412,29.785422,1
-95.653376,29.732515,1
-95.653314,29.732477,1
-95.653314,29.732477,1
-95.653266,29.732427,1
-95.653266,29.732427,1
-95.653266,29.732427,1
-95.653266,29.732427,1
-95.653266,29.732427,1
-95.653266,29.732427,1
-95.653266,29.732427,1
-95.653266,29.732427,1
-95.653266,29.732427,1
-95.653266,29.732427,1
-95.653266,29.732427,1
-95.653266,29.732427,1
-95.653266,29.732427,1
-95.653266,29.732427,1
-95.653266,29.732427,1
-95.653266,29.732427,1
-95.653266,29.732427,1
-95.653169,29.789136,1
-95.653169,29.789136,1
-95.653169,29.789136,1
-95.653169,29.789136,1
-95.653169,29.789136,1
-95.653169,29.789136,1
-95.653169,29.789136,1
-95.653169,29.789136,1
-95.653169,29.789136,1
-95.653169,29.789136,1
-95.653169,29.789136,1
-95.652901,29.733315,1
-95.652901,29.733315,1
-95.652901,29.733315,1
-95.652874,29.73334,1
-95.652817,29.78444,1
-95.652554,29.784431,1
-95.652515,29.784439,1
-95.652515,29.784439,1
-95.652515,29.784439,1
-95.652515,29.784439,1
-95.652515,29.784439,1
-95.652515,29.784439,1
-95.652515,29.784439,1
-95.652515,29.784439,2
-95.652265,29.7339,1
-95.65212,29.726705,1
-95.65212,29.726705,1
-95.65196,29.731409,1
-95.651952,29.731388,1
-95.65193,29.731371,1
-95.65193,29.731371,1
-95.651922,29.732737,1
-95.651922,29.732737,1
-95.65185,29.731331,1
-95.651779,29.731266,1
-95.651752,29.784426,1
-95.651731,29.784426,1
-95.651488,29.727781,1
-95.651407,29.789131,1
-95.651407,29.789131,1
-95.651407,29.789131,1
-95.651407,29.789131,1
-95.651407,29.789131,1
-95.651407,29.789131,1
-95.651407,29.789131,1
-95.651407,29.789131,1
-95.651407,29.789131,1
-95.651407,29.789131,1
-95.651264,29.789147,1
-95.651264,29.789147,1
-95.651264,29.789147,1
-95.651264,29.789147,1
-95.651264,29.789147,1
-95.651264,29.789147,1
-95.651203,29.784423,1
-95.651203,29.784423,1
-95.651178,29.785951,1
-95.651178,29.785951,1
-95.651178,29.785951,2
-95.651174,29.786015,1
-95.651174,29.786015,1
-95.651174,29.786015,1
-95.651174,29.786015,1
-95.651172,29.785654,1
-95.650886,29.784428,1
-95.650886,29.784428,1
-95.650886,29.784428,1
-95.650886,29.784428,1
-95.650886,29.784428,1
-95.650886,29.784428,1
-95.650746,29.731784,1
-95.650746,29.731784,1
-95.650626,29.729607,1
-95.650626,29.729607,1
-95.650604,29.734881,1
-95.650175,29.784393,1
-95.650175,29.784393,1
-95.650175,29.784393,1
-95.650175,29.784393,1
-95.650175,29.784393,1
-95.650175,29.784393,1
-95.650175,29.784393,1
-95.649728,29.784368,1
-95.649626,29.784362,1
-95.649626,29.784362,1
-95.649626,29.784362,1
-95.649626,29.784362,1
-95.649005,29.735391,1
-95.649005,29.735391,1
-95.649005,29.735391,1
-95.649005,29.735391,1
-95.649005,29.735391,2
-95.649005,29.735391,3
-95.648798,29.735412,1
-95.648634,29.784286,1
-95.648459,29.788967,1
-95.648459,29.788967,1
-95.648459,29.788967,1
-95.648459,29.788967,1
-95.648459,29.788967,1
-95.648459,29.788967,1
-95.648459,29.788967,1
-95.648459,29.788967,1
-95.647854,29.72673,1
-95.647854,29.72673,1
-95.647854,29.72673,1
-95.647854,29.72673,1
-95.647854,29.72673,1
-95.647854,29.72673,1
-95.647854,29.72673,1
-95.647854,29.72673,1
-95.647854,29.72673,1
-95.647854,29.72673,1
-95.647854,29.72673,1
